threshold,accuracy,precision,recall,f1_score
0.1,0.9879398148148149,0.9240803633211113,0.9855096189732976,0.9538069378255569
0.15000000000000002,0.9885757458847737,0.9321876234311647,0.9809350931360906,0.9559403014684913
0.20000000000000004,0.9887761488340192,0.9366845104135499,0.9772181318494894,0.956522100117234
0.25000000000000006,0.98884248542524,0.9396380985571554,0.9742747599497845,0.9566430141710917
0.30000000000000004,0.9888811728395062,0.9422506754066425,0.9715383571404336,0.9566704141685641
0.3500000000000001,0.9889102151920439,0.9447105185895819,0.9689308858955654,0.9566674273941455
0.40000000000000013,0.9889011059670781,0.9471006647341645,0.9661130526244359,0.956512391738673
0.45000000000000007,0.9888545953360768,0.9493391923164386,0.9631832524683609,0.9562111163133802
0.5000000000000001,0.9887730409807957,0.9516100415806534,0.9599523292505004,0.9557629820431345
0.5500000000000002,0.9886669453017832,0.9538975325904628,0.9565280086859159,0.9552109596792331
0.6000000000000002,0.9884974065500686,0.9562495795521411,0.9525370678247888,0.954389713346957
0.6500000000000001,0.9882291666666667,0.9585556588785528,0.9478132528076545,0.953154189065387
0.7000000000000002,0.9878785150891632,0.9611006415015324,0.942192006243002,0.9515523980937581
0.7500000000000002,0.9873673268175583,0.9638345754223744,0.9350990737284973,0.949249405431284
0.8000000000000002,0.9866376243141289,0.9670886075949368,0.925740508261799,0.9459629415346478
0.8500000000000002,0.9853450788751714,0.9705014482913052,0.9117175041563464,0.9401915298596241
0.9000000000000002,0.9827702760631002,0.9748142054484812,0.8865308926814373,0.9285789170670685
0.9500000000000003,0.9759396433470507,0.9803193513126136,0.8261468123367149,0.8966541676294884
